Any,Data,Codi_Postal,Sector_Economic,Tram_Horari,Valor
2023,2023-01-01,08018,Indústria,De 00:00:00 a 05:59:59 h,4912
2023,2023-01-01,08018,Indústria,De 06:00:00 a 11:59:59 h,4852
2023,2023-01-01,08018,Indústria,De 12:00:00 a 17:59:59 h,5200
2023,2023-01-01,08018,Indústria,De 18:00:00 a 23:59:59 h,5308
2023,2023-01-01,08018,Indústria,No consta,103
2023,2023-01-01,08018,No especificat,De 00:00:00 a 05:59:59 h,676
2023,2023-01-01,08018,No especificat,De 06:00:00 a 11:59:59 h,702
2023,2023-01-01,08018,No especificat,De 12:00:00 a 17:59:59 h,756
2023,2023-01-01,08018,No especificat,De 18:00:00 a 23:59:59 h,804
2023,2023-01-01,08018,No especificat,No consta,4
2023,2023-01-01,08018,Residencial,De 00:00:00 a 05:59:59 h,34761
2023,2023-01-01,08018,Residencial,De 06:00:00 a 11:59:59 h,36940
2023,2023-01-01,08018,Residencial,De 12:00:00 a 17:59:59 h,54050
2023,2023-01-01,08018,Residencial,De 18:00:00 a 23:59:59 h,57801
2023,2023-01-01,08018,Residencial,No consta,6621
2023,2023-01-01,08018,Serveis,De 00:00:00 a 05:59:59 h,50001
2023,2023-01-01,08018,Serveis,De 06:00:00 a 11:59:59 h,51061
2023,2023-01-01,08018,Serveis,De 12:00:00 a 17:59:59 h,56216
2023,2023-01-01,08018,Serveis,De 18:00:00 a 23:59:59 h,58866
2023,2023-01-01,08018,Serveis,No consta,1231
2023,2023-01-01,08019,Indústria,De 00:00:00 a 05:59:59 h,1251
2023,2023-01-01,08019,Indústria,De 06:00:00 a 11:59:59 h,1325
2023,2023-01-01,08019,Indústria,De 12:00:00 a 17:59:59 h,1597
2023,2023-01-01,08019,Indústria,De 18:00:00 a 23:59:59 h,1740
2023,2023-01-01,08019,Indústria,No consta,45
2023,2023-01-01,08019,Residencial,De 00:00:00 a 05:59:59 h,25522
2023,2023-01-01,08019,Residencial,De 06:00:00 a 11:59:59 h,27168
2023,2023-01-01,08019,Residencial,De 12:00:00 a 17:59:59 h,39812
2023,2023-01-01,08019,Residencial,De 18:00:00 a 23:59:59 h,42692
